f_Hz,ReZ0_ohm,ImZ0_ohm
3.300000000000000000e+08,4.866115089022066797e+01,-1.708354605241585722e-01
3.320000000000000000e+08,4.866050777544465689e+01,-1.716770537483826575e-01
3.340000000000000000e+08,4.865986179461486216e+01,-1.725153731795567025e-01
3.360000000000000000e+08,4.865921296310129662e+01,-1.733504051490810105e-01
3.380000000000000000e+08,4.865856129630690674e+01,-1.741821360620784687e-01
3.400000000000000000e+08,4.865790680966728843e+01,-1.750105523973993216e-01
3.420000000000000000e+08,4.865724951865061598e+01,-1.758356407074777583e-01
3.440000000000000000e+08,4.865658943875739340e+01,-1.766573876182232217e-01
3.460000000000000000e+08,4.865592658552023408e+01,-1.774757798288457145e-01
3.480000000000000000e+08,4.865526097450375431e+01,-1.782908041119467546e-01
3.500000000000000000e+08,4.865459262130445950e+01,-1.791024473131369033e-01
3.520000000000000000e+08,4.865392154155043869e+01,-1.799106963511659107e-01
3.540000000000000000e+08,4.865324775090131482e+01,-1.807155382176787728e-01
3.560000000000000000e+08,4.865257126504803153e+01,-1.815169599772535336e-01
3.580000000000000000e+08,4.865189209971287454e+01,-1.823149487671630042e-01
3.600000000000000000e+08,4.865121027064910209e+01,-1.831094917973975500e-01
3.620000000000000000e+08,4.865052579364100183e+01,-1.839005763505838775e-01
3.640000000000000000e+08,4.864983868450365634e+01,-1.846881897817808371e-01
3.660000000000000000e+08,4.864914895908287917e+01,-1.854723195185075391e-01
3.680000000000000000e+08,4.864845663325510827e+01,-1.862529530606722716e-01
3.700000000000000000e+08,4.864776172292724965e+01,-1.870300779804180691e-01
3.720000000000000000e+08,4.864706424403668450e+01,-1.878036819221563236e-01
3.740000000000000000e+08,4.864636421255091392e+01,-1.885737526024161836e-01
3.760000000000000000e+08,4.864566164446782892e+01,-1.893402778098314809e-01
3.780000000000000000e+08,4.864495655581526989e+01,-1.901032454050189946e-01
3.800000000000000000e+08,4.864424896265122555e+01,-1.908626433206770945e-01
3.820000000000000000e+08,4.864353888106351320e+01,-1.916184595613523722e-01
3.840000000000000000e+08,4.864282632716989241e+01,-1.923706822034955410e-01
3.860000000000000000e+08,4.864211131711783054e+01,-1.931192993953833315e-01
3.880000000000000000e+08,4.864139386708455248e+01,-1.938642993571104145e-01
3.900000000000000000e+08,4.864067399327686303e+01,-1.946056703805128518e-01
3.920000000000000000e+08,4.863995171193115397e+01,-1.953434008291806134e-01
3.940000000000000000e+08,4.863922703931338276e+01,-1.960774791383957383e-01
3.960000000000000000e+08,4.863849999171882388e+01,-1.968078938151225643e-01
3.980000000000000000e+08,4.863777058547221799e+01,-1.975346334379680102e-01
4.000000000000000000e+08,4.863703883692759433e+01,-1.982576866572603458e-01
4.020000000000000000e+08,4.863630476246824230e+01,-1.989770421947764378e-01
4.040000000000000000e+08,4.863556837850669723e+01,-1.996926888441884484e-01
4.060000000000000000e+08,4.863482970148457696e+01,-2.004046154705629301e-01
4.080000000000000000e+08,4.863408874787266001e+01,-2.011128110107087696e-01
4.100000000000000000e+08,4.863334553417080031e+01,-2.018172644729932796e-01
4.120000000000000000e+08,4.863260007690779219e+01,-2.025179649374727886e-01
4.140000000000000000e+08,4.863185239264140591e+01,-2.032149015558196992e-01
4.160000000000000000e+08,4.863110249795836637e+01,-2.039080635513755568e-01
4.180000000000000000e+08,4.863035040947423226e+01,-2.045974402191440000e-01
4.200000000000000000e+08,4.862959614383338902e+01,-2.052830209258748595e-01
4.220000000000000000e+08,4.862883971770899905e+01,-2.059647951100269381e-01
4.240000000000000000e+08,4.862808114780289515e+01,-2.066427522818355123e-01
4.260000000000000000e+08,4.862732045084575105e+01,-2.073168820232968168e-01
4.280000000000000000e+08,4.862655764359672617e+01,-2.079871739882921122e-01
4.300000000000000000e+08,4.862579274284361475e+01,-2.086536179026120819e-01
4.320000000000000000e+08,4.862502576540283172e+01,-2.093162035639049012e-01
4.340000000000000000e+08,4.862425672811919952e+01,-2.099749208418552615e-01
