k,t_real_s,y1,u1_aplicado,dy1,du1_aplicado
1764,8.821,2.74,93.975,0.26300000000000034,43.974999999999994
1765,8.825,2.789,6.689,0.3120000000000003,-43.311
1766,8.83,2.698,93.857,0.22100000000000009,43.857
1767,8.835,2.764,94.043,0.2869999999999999,44.043000000000006
1768,8.84,2.776,15.469,0.29899999999999993,-34.531
1769,8.845,2.706,15.254,0.2290000000000001,-34.746
1770,8.85,2.658,6.348,0.18100000000000005,-43.652
1771,8.855,2.634,93.682,0.15700000000000003,43.682
1772,8.86,2.707,6.475,0.22999999999999998,-43.525
1773,8.865,2.638,93.701,0.16100000000000003,43.70099999999999
1774,8.87,2.709,93.906,0.2320000000000002,43.906000000000006
1775,8.875,2.777,94.072,0.30000000000000027,44.072
1776,8.88,2.854,6.846,0.3770000000000002,-43.153999999999996
1777,8.885,2.754,94.053,0.27700000000000014,44.053
1778,8.89,2.827,6.807,0.3500000000000001,-43.193
1779,8.895,2.785,94.072,0.3080000000000003,44.072
1780,8.9,2.86,6.865,0.383,-43.135
1781,8.905,2.832,50.537,0.355,0.536999999999999
1782,8.91,2.865,94.287,0.38800000000000034,44.287000000000006
1783,8.915,2.926,7.051,0.4490000000000003,-42.949
1784,8.92,2.839,94.238,0.3620000000000001,44.238
1785,8.925,2.894,94.414,0.41700000000000026,44.414
1786,8.93,2.933,42.041,0.45599999999999996,-7.959000000000003
1787,8.935,2.926,77.041,0.4490000000000003,27.040999999999997
1788,8.94,2.967,7.168,0.4900000000000002,-42.832
1789,8.945,2.865,6.895,0.38800000000000034,-43.105000000000004
1790,8.95,2.873,94.355,0.39600000000000035,44.355000000000004
1791,8.955,2.914,59.453,0.4370000000000003,9.453000000000003
1792,8.96,2.939,85.791,0.4620000000000002,35.791
1793,8.965,2.943,68.242,0.4660000000000002,18.242000000000004
1794,8.97,2.971,85.898,0.4940000000000002,35.897999999999996
1795,8.975,3.0,15.937,0.5230000000000001,-34.063
1796,8.98,2.915,94.453,0.43800000000000017,44.453
1797,8.985,2.977,42.148,0.5,-7.851999999999997
1798,8.99,2.931,42.07,0.4540000000000002,-7.93
1799,8.995,2.9,7.021,0.42300000000000004,-42.979
1800,9.0,2.807,94.18,0.33000000000000007,44.18000000000001
1801,9.005,2.877,33.145,0.3999999999999999,-16.854999999999997
1802,9.01,2.797,6.719,0.3200000000000003,-43.281
1803,9.015,2.793,6.689,0.3160000000000003,-43.311
1804,9.02,2.701,93.887,0.2240000000000002,43.887
1805,9.025,2.743,59.033,0.266,9.033000000000001
1806,9.03,2.729,6.543,0.2520000000000002,-43.457
1807,9.035,2.658,50.029,0.18100000000000005,0.029000000000003467
1808,9.04,2.606,23.721,0.129,-26.279
1809,9.045,2.665,93.75,0.18800000000000017,43.75
1810,9.05,2.681,41.426,0.20400000000000018,-8.573999999999998
1811,9.055,2.662,6.348,0.18500000000000005,-43.652
1812,9.06,2.563,93.525,0.0860000000000003,43.525000000000006
1813,9.065,2.644,41.279,0.16700000000000026,-8.720999999999997
1814,9.07,2.616,41.23,0.13900000000000023,-8.770000000000003
1815,9.075,2.668,93.76,0.19100000000000028,43.760000000000005
1816,9.08,2.656,15.098,0.17900000000000027,-34.902
1817,9.085,2.63,6.309,0.15300000000000002,-43.691
1818,9.09,2.552,93.496,0.07500000000000018,43.495999999999995
1819,9.095,2.584,6.182,0.1070000000000002,-43.818
1820,9.1,2.5,5.986,0.02300000000000013,-44.014
1821,9.105,2.426,5.801,-0.05099999999999971,-44.199
1822,9.11,2.347,92.91,-0.1299999999999999,42.91
1823,9.115,2.408,93.066,-0.06899999999999995,43.066
1824,9.12,2.476,40.859,-0.0009999999999998899,-9.140999999999998
1825,9.125,2.462,58.242,-0.01499999999999968,8.241999999999997
1826,9.13,2.488,5.967,0.01100000000000012,-44.033
1827,9.135,2.41,93.096,-0.06699999999999973,43.096000000000004
1828,9.14,2.443,14.971,-0.03399999999999981,-35.028999999999996
1829,9.145,2.426,58.174,-0.05099999999999971,8.174
1830,9.15,2.412,5.791,-0.06499999999999995,-44.209
1831,9.155,2.376,5.605,-0.10099999999999998,-44.394999999999996
1832,9.16,2.297,5.449,-0.17999999999999972,-44.551
1833,9.165,2.235,31.504,-0.242,-18.496
1834,9.17,2.25,92.676,-0.22699999999999987,42.676
1835,9.175,2.335,92.871,-0.1419999999999999,42.870999999999995
1836,9.18,2.421,75.664,-0.05600000000000005,25.664
1837,9.185,2.472,14.668,-0.004999999999999893,-35.332
1838,9.19,2.43,5.771,-0.04699999999999971,-44.229
